agency,expenses,year
Department of Agriculture,0.17,2014
Department of Agriculture,3.054,2014
Department of Agriculture,0.35,2014
Department of Agriculture,2.176,2014
Department of Agriculture,0.478,2014
Department of Agriculture,1.138,2014
Department of Agriculture,0.342,2014
Department of Agriculture,2,2014
Department of Agriculture,5.466,2014
Department of Agriculture,3.716,2014
Department of Agriculture,2.384,2014
Department of Commerce,1.24,2012
Department of Commerce,0.413,2012
Department of Commerce,9.696,2011
Department of Commerce,0.59,2011
Department of Commerce,9.76,2012
Department of Commerce,0.6,2012
Department of Commerce,0.175,2012
Department of Commerce,0.03,2012
Department of Commerce,0.16,2012
Department of Commerce,0.532,2012
Department of Commerce,0.4,2012
Department of Commerce,0.49,2012
Department of Commerce,0.35,2012
Department of Commerce,0.48,2012
Department of Commerce,0.5,2013
Department of Commerce,0.65,2013
Department of Commerce,0.475,2013
Department of Commerce,0.1,2013
Department of Commerce,10,2013
Department of Commerce,0.61,2013
Department of Commerce,11,2014
Department of Commerce,0.5,2014
Department of Commerce,1.5,2014
Department of Commerce,11.365234,2012
Department of Commerce,15.796858,2012
Department of Commerce,14.328,2012
Department of Commerce,9.076352,2012
Department of Commerce,2.121,2013
Department of Commerce,12.824599,2013
Department of Commerce,14.534012,2013
Department of Commerce,8.46883,2013
Department of Commerce,0.555,2012
Department of Commerce,0.675,2012
Department of Commerce,1.6,2012
Department of Commerce,3.27,2010
Department of Commerce,5.529,2011
Department of Commerce,1.238,2012
Department of Commerce,10.5,2010
Department of Commerce,30.161314,2006
Department of Commerce,7.849,2007
Department of Commerce,8.972,2008
Department of Commerce,8.824,2008
Department of Commerce,2.281,2008
Department of Commerce,5.549,2010
Department of Commerce,3.386,2012
Department of Commerce,63.352,2011
Department of Commerce,1.65,2012
Department of Commerce,90,2010
Department of Commerce,21.86,2011
Department of Commerce,2.4,2011
Department of Commerce,3.936,2011
Department of Commerce,1.05,2011
Department of Commerce,17,2011
Department of Commerce,65.375,2011
Department of Commerce,0.675,2012
Department of Commerce,9.187,2010
Department of Commerce,108.774,2010
Department of Commerce,3.067,2010
Department of Commerce,3.26,2010
Department of Commerce,2.764,2010
Department of Commerce,3.917,2010
Department of Commerce,27.6,2009
Department of Commerce,49.06,2009
Department of Commerce,40.7,2012
Department of Commerce,2.47,2011
Department of Commerce,1.383,2012
Department of Commerce,2.424,2012
Department of Commerce,13.972011,2011
Department of Commerce,82.960476,2011
Department of Commerce,0.927026,2012
Department of Commerce,2.76342,2012
Department of Commerce,0.3684,2012
Department of Commerce,0.48,2012
Department of Commerce,1.0395,2012
Department of Commerce,0.4332,2013
Department of Commerce,0.7117,2013
Department of Commerce,0.704857,2012
Department of Commerce,6.12603,2013
Department of Commerce,0.595912,2012
Department of Commerce,2.084374,2013
Department of Commerce,1.4151,2012
Department of Commerce,0.377089,2012
Department of Commerce,4.07484,2013
Department of Commerce,0.319648,2013
Department of Commerce,1.01462,2014
Department of Commerce,0.001,2013
Department of Commerce,1.558091,2012
Department of Commerce,2.179936,2012
Department of Commerce,2.821184,2013
Department of Commerce,0.617595,2012
Department of Commerce,8.141993,2012
Department of Commerce,0.291797,2011
Department of Commerce,0.37551,2013
Department of Commerce,0.926033,2013
Department of Commerce,0.318301,2013
Department of Commerce,3.639747,2013
Department of Commerce,0.105,2011
Department of Commerce,44,2005
Department of Commerce,11,2005
Department of Commerce,6.137,2011
Department of Commerce,3.751,2012
Department of Commerce,2.8,2012
Department of Commerce,1,2012
Department of Commerce,0.2,2012
Department of Commerce,1.445,2013
Department of Commerce,0.5015,2013
Department of Commerce,0.425,2014
Department of Commerce,4.5,2011
Department of Commerce,30,2011
Department of Commerce,45,2011
Department of Commerce,7.299,2010
Department of Commerce,7.631,2013
Department of Commerce,6.28632,2009
Department of Commerce,12.672268,2013
Department of Commerce,4.25,2012
Department of Commerce,4.8105,2012
Department of Commerce,13.783,2012
Department of Commerce,3.734,2012
Department of Commerce,27.10698,2012
Department of Commerce,59.823935,2012
Department of Commerce,5.796,2012
Department of Commerce,0.707722,2011
Department of Commerce,0.29143,2011
Department of Commerce,5.16559,2011
Department of Commerce,4.50311,2011
Department of Commerce,3.835079,2013
Department of Commerce,1.77327,2013
Department of Commerce,76.09074,2012
Department of Commerce,1.29675,2012
Department of Commerce,2.04413,2013
Department of Commerce,0.73381,2011
Department of Commerce,2.40462,2010
Department of Commerce,2.291,2011
Department of Commerce,2.05996,2013
Department of Commerce,1.035,2012
Department of Commerce,3.45217,2012
Department of Commerce,7.94861,2012
Department of Commerce,4.03951,2012
Department of Commerce,2.451,2014
Department of Commerce,2.637,2014
Department of Commerce,1.94456,2013
Department of Commerce,0.95,2014
Department of Commerce,4.50689,2012
Department of Commerce,3.86152,2012
Department of Commerce,0.84215,2012
Department of Commerce,1.09065,2011
Department of Commerce,4.98266,2012
Department of Commerce,3.41581,2011
Department of Commerce,0.489584,2011
Department of Commerce,0.14,2012
Department of Commerce,6.9643,2010
Department of Commerce,12.72751,2010
Department of Commerce,0.64406,2011
Department of Commerce,2.23265,2011
Department of Commerce,0.27056,2012
Department of Commerce,0.36772,2012
Department of Commerce,0.52294,2012
Department of Commerce,3.24,2012
Department of Commerce,0.1008,2012
Department of Commerce,0.33277,2012
Department of Commerce,0.24842,2011
Department of Commerce,2.36071,2011
Department of Commerce,0.22943,2012
Department of Commerce,0.4763,2012
Department of Commerce,0.095277,2011
Department of Commerce,1.490352,2012
Department of Commerce,2.56928,2012
Department of Commerce,0.45074,2012
Department of Commerce,0.60144,2012
Department of Commerce,38.99609,2012
Department of Commerce,0.80047,2012
Department of Commerce,2.8,2012
Department of Commerce,4.31893,2010
Department of Commerce,0.286,2011
Department of Commerce,0.61879,2012
Department of Commerce,0.845,2012
Department of Commerce,1.45952,2012
Department of Commerce,3.27144,2012
Department of Commerce,0.25025,2012
Department of Commerce,3.88421,2012
Department of Commerce,0.185,2012
Department of Commerce,1.7542,2012
Department of Commerce,1.10759,2013
Department of Commerce,0.72472,2012
Department of Commerce,0.71414,2012
Department of Commerce,0.751,2013
Department of Commerce,1.05749,2012
Department of Commerce,2.84647,2012
Department of Commerce,0.085,2012
Department of Commerce,0.18152,2012
Department of Commerce,0.18212,2013
Department of Commerce,3.32014,2014
Department of Commerce,0.056428,2014
Department of Commerce,0.53965,2013
Department of Commerce,0.49863,2013
Department of Commerce,3.237976,2013
Department of Commerce,0.86494,2013
Department of Commerce,3.2045,2013
Department of Commerce,1.152534,2014
Department of Commerce,1.77224,2013
Department of Commerce,3.92648,2013
Department of Commerce,1.21703,2013
Department of Commerce,2.16154,2013
Department of Commerce,0.26839,2013
Department of Commerce,0.87616,2013
Department of Commerce,3.9364,2013
Department of Commerce,0.52536,2013
Department of Commerce,0.58595,2013
Department of Commerce,1.8212,2013
Department of Commerce,1.19615,2013
Department of Commerce,0.91803,2013
Department of Commerce,1.38688,2013
Department of Commerce,0.60287,2013
Department of Commerce,1.47768,2013
Department of Commerce,1.2318,2014
Department of Commerce,0.49306,2013
Department of Commerce,0.61336,2013
Department of Commerce,0.72348,2013
Department of Commerce,0.19431,2013
Department of Commerce,0.26921,2013
Department of Commerce,1.143,2013
Department of Commerce,0.74874,2013
Department of Commerce,0.70249,2013
Department of Commerce,0.42893,2013
Department of Commerce,11.76511,2014
Department of Commerce,0.22493,2014
Department of Commerce,3.01655,2014
Department of Commerce,0.90869,2014
Department of Commerce,1.34178,2014
Department of Commerce,0.71576,2014
Department of Commerce,0.74007,2014
Department of Commerce,1.81574,2014
Department of Commerce,4.71296,2014
Department of Commerce,0.38589,2014
Department of Commerce,0.88543,2014
Department of Commerce,5.82765,2014
Department of Commerce,0.87373,2014
Department of Commerce,8.87262,2014
Department of Commerce,6.40993,2015
Department of Commerce,0.80486,2014
Department of Commerce,5.25803,2014
Department of Commerce,0.73575,2014
Department of Commerce,0.74519,2014
Department of Commerce,1.28627,2014
Department of Commerce,2.4352,2014
Department of Commerce,0.24794,2014
Department of Commerce,0.22528,2014
Department of Commerce,1.1365,2014
Department of Commerce,1.27548,2014
Department of Commerce,0.28757,2014
Department of Commerce,0.24966,2014
Department of Commerce,0.36184,2014
Department of Commerce,1.4963,2014
Department of Commerce,1.66512,2014
Department of Commerce,3.19507,2014
Department of Commerce,1.41278,2013
Department of Commerce,1.25,2013
Department of Commerce,0.15,2013
Department of Commerce,0.13815,2013
Department of Commerce,0.118913,2013
Department of Commerce,1.999059,2014
Department of Commerce,0.136489,2013
Department of Commerce,0.08595,2013
Department of Commerce,10.81775,2012
Department of Commerce,1.91382,2011
Department of Commerce,0.11574,2011
Department of Commerce,0.89427,2011
Department of Commerce,0.04717,2011
Department of Commerce,0.166,2011
Department of Commerce,11.711541,2013
Department of Commerce,0.2,2012
Department of Commerce,2.73157,2013
Department of Commerce,8.49282,2011
Department of Commerce,0.4776,2012
Department of Commerce,3.871,2012
Department of Commerce,5.21836,2013
Department of Commerce,0.84207,2013
Department of Commerce,2.55249,2012
Department of Commerce,5.1826,2013
Department of Commerce,0.66677,2011
Department of Commerce,3.007,2013
Department of Commerce,0.24878,2012
Department of Commerce,2.06623,2012
Department of Commerce,1.89967,2013
Department of Commerce,1.14326,2013
Department of Commerce,1.51959,2013
Department of Commerce,0.8719,2012
Department of Commerce,0.61656,2013
Department of Commerce,1.43565,2012
Department of Commerce,2.6702,2013
Department of Commerce,3.14309,2013
Department of Commerce,0.3459,2013
Department of Commerce,12.50838,2014
Department of Commerce,6.22161,2014
Department of Commerce,4.5,2013
Department of Commerce,0.2,2013
Department of Commerce,1.15777,2013
Department of Commerce,0.28443,2012
Department of Commerce,2.3074,2012
Department of Commerce,4.17816,2012
Department of Commerce,0.81178,2009
Department of Commerce,0.390627,2012
Department of Commerce,2.07786,2013
Department of Commerce,0.94076,2012
Department of Commerce,0.12637,2011
Department of Commerce,0.76187,2012
Department of Commerce,1.10105,2013
Department of Commerce,0.94115,2012
Department of Commerce,3.19378,2014
Department of Commerce,0.98201,2012
Department of Commerce,1.56226,2012
Department of Commerce,1.65455,2013
Department of Commerce,4.2751,2013
Department of Commerce,3.69039,2013
Department of Commerce,2.83166,2013
Department of Commerce,2.9879,2013
Department of Commerce,5.5551,2014
Department of Commerce,4.62397,2014
Department of Commerce,6.19853,2014
Department of Commerce,3.84447,2014
Department of Commerce,1.45249,2013
Department of Commerce,47.451,2011
Department of Commerce,11.699,2011
Department of Commerce,3.057865,2013
Department of Commerce,23.684,2011
Department of Commerce,10.913,2014
Department of Commerce,1.77,2014
Department of Commerce,3.41,2014
Department of Commerce,72.647,2006
Department of Commerce,11.339878,2010
Department of Commerce,2.824429,2010
Department of Commerce,0.944549,2012
Department of Commerce,1.83,2011
Department of Commerce,1.6,2012
Department of Commerce,0.208,2012
Department of Commerce,9.534017,2011
Department of Commerce,5.875,2013
Department of Commerce,2.216,2013
Department of Commerce,1.293,2013
Department of Commerce,0.55455,2012
Department of Commerce,6.249,2010
Department of Commerce,6.6992,2013
Department of Commerce,3.41787,2013
Department of Commerce,0.554839,2012
Department of Commerce,0.235418,2013
Department of Commerce,0.236144,2014
Department of Commerce,0.635034,2014
Department of Commerce,20.437,2011
Department of Commerce,13.3261,2011
Department of Commerce,1.49178,2014
Department of Commerce,0.7755,2014
Department of Commerce,1.63272,2014
Department of Commerce,12.7005,2011
Department of Commerce,23.04,2011
Department of Commerce,0.29,2013
Department of Commerce,0.235,2013
Department of Commerce,1.92864,2014
Department of Commerce,0.83006,2014
Department of Commerce,2.12392,2015
Department of Commerce,4.41887,2014
Department of Commerce,11.86589,2014
Department of Commerce,4.5,2014
Department of Commerce,1.06,2014
Department of Commerce,0.54991,2015
Department of Commerce,1.10675,2015
Department of Commerce,3.36452,2014
Department of Commerce,24.431,2012
Department of Commerce,18.532,2012
Department of Commerce,11.398,2012
Department of Commerce,4.402,2012
Department of Commerce,26.32989,2012
Department of Commerce,9.136,2013
Department of Defense,5.468,2013
Department of Defense,10.587,2013
Department of Defense,1.762,2013
Department of Defense,1.398,2013
Department of Defense,1022,2003
Department of Defense,565.26,2011
Department of Defense,127.2,2010
Department of Defense,258.6,2004
Department of Defense,74.641,2010
Department of Defense,26,2013
Department of Defense,104,2012
Department of Defense,14.457,2012
Department of Defense,10,2012
Department of Defense,15.536,2013
Department of Defense,162.608,2013
Department of Defense,90,2013
Department of Defense,221.9,2006
Department of Defense,1361.265,2005
Department of Defense,1211.853,2004
Department of Defense,503.471,2012
Department of Defense,6462.761,2011
Department of Defense,7495.005,2013
Department of Defense,134.182,2009
Department of Defense,428.268,2009
Department of Defense,401.337,2013
Department of Defense,344.946,2013
Department of Defense,534.589,2005
Department of Defense,76,2010
Department of Defense,152.332,2013
Department of Defense,18.268,2009
Department of Defense,4.636,2013
Department of Defense,1.083,2011
Department of Defense,4.633,2014
Department of Defense,12.117,2010
Department of Defense,13.05,2009
Department of Defense,40,2011
Department of Defense,717.945,2007
Department of Defense,37.845,2007
Department of Defense,68.964,2008
Department of Defense,16.924,2009
Department of Defense,16.011,2008
Department of Defense,112.442,2008
Department of Defense,12.543,2008
Department of Defense,1.09,2014
Department of Defense,21.12,2012
Department of Defense,24.285,2014
Department of Defense,16.469,2014
Department of Defense,24.88,2013
Department of Defense,11.158,2012
Department of Defense,125.695,2008
Department of Defense,12.136,2010
Department of Defense,39.056,2011
Department of Defense,70.297,2012
Department of Defense,32.921,2012
Department of Defense,13.734,2012
Department of Defense,32.987,2012
Department of Defense,825.103,2001
Department of Defense,4.668,2010
Department of Defense,57.403,2011
Department of Defense,70.052,2011
Department of Defense,123.878,2011
Department of Defense,797,2003
Department of Defense,463.1,2007
Department of Defense,87.16,2000
Department of Defense,60.6,2007
Department of Defense,123.218,2011
Department of Defense,117.77,2015
Department of Defense,227.643,2008
Department of Defense,5.7,2009
Department of Defense,1.7,2013
Department of Defense,13.983,2013
Department of Defense,0.1,2013
Department of Defense,15.577,2012
Department of Defense,71.8,2012
Department of Defense,14.596,2010
Department of Defense,0.546,2012
Department of Defense,17.695,2010
Department of Defense,1.738,2012
Department of Defense,7.201,2013
Department of Defense,8.19,2014
Department of Defense,2.438,2013
Department of Defense,7.691,2013
Department of Defense,7.943,2014
Department of Defense,7.872,2013
Department of Defense,6.998,2014
Department of Defense,1.415,2012
Department of Defense,2.595,2013
Department of Defense,768.593,2000
Department of Defense,35.566,2012
Department of Defense,3.899,2012
Department of Defense,5.394,2012
Department of Defense,16.571,2012
Department of Defense,0.36,2012
Department of Defense,3.212,2012
Department of Defense,18.032,2012
Department of Defense,24.563,2012
Department of Defense,28.34,2012
Department of Defense,7.086,2012
Department of Defense,42.869,2014
Department of Defense,3.942,2014
Department of Defense,3.81,2014
Department of Defense,14.156,2014
Department of Defense,29.462,2014
Department of Defense,30.484,2014
Department of Defense,10.01,2014
Department of Defense,42.697,2014
Department of Defense,41.001,2014
Department of Defense,2.355,2014
Department of Defense,23.4,2010
Department of Defense,35,2012
Department of Defense,26.697,2014
Department of Defense,9,2012
Department of Defense,161.841,2010
Department of Defense,569.976,2014
Department of Defense,405.358,2015
Department of Defense,7.8,2009
Department of Defense,1.85,2011
Department of Defense,15.56,2013
Department of Defense,3.99,2013
Department of Defense,4153.75,2002
Department of Defense,5.199,2011
Department of Defense,17.978,2011
Department of Defense,1.852,2014
Department of Defense,8.15,2012
Department of Defense,5.33,2014
Department of Defense,5.515,2013
Department of Defense,1274.29,2008
Department of Defense,668.9,2004
Department of Defense,209.5,2005
Department of Defense,638.7,2011
Department of Defense,51.427,2011
Department of Defense,11.077,2011
Department of Defense,0.37,2012
Department of Defense,1.416,2012
Department of Defense,16.525,2012
Department of Defense,0.5,2012
Department of Defense,1.101,2012
Department of Defense,4.964,2012
Department of Defense,6.23,2012
Department of Defense,4.306,2012
Department of Defense,1.638,2012
Department of Defense,1.682,2012
Department of Defense,2.078,2014
Department of Defense,7.584,2014
Department of Defense,0.643,2014
Department of Defense,8.871,2014
Department of Defense,3.529,2013
Department of Defense,6.332,2013
Department of Defense,11.484,2013
Department of Defense,0.643,2013
Department of Defense,1.93,2013
Department of Defense,12.326,2014
Department of Defense,180.1,2012
Department of Defense,90.923,2009
Department of Defense,84.986,2010
Department of Defense,32.51,2005
Department of Defense,1595.233,2008
Department of Defense,5.254,2010
Department of Defense,142.06,2010
Department of Defense,223.372,2010
Department of Defense,431.384,2010
Department of Defense,155.198,2012
Department of Defense,1918.475,2001
Department of Defense,1153.331,2008
Department of Defense,2472.5,2002
Department of Defense,89.3,2006
Department of Defense,358.41,2009
Department of Defense,407.385,2009
Department of Defense,34.848,2012
Department of Defense,98.292,2013
Department of Defense,222.008,2014
Department of Defense,924.731,2010
Department of Defense,628,2014
Department of Defense,35.1,2014
Department of Defense,287.808,2007
Department of Defense,351.655,2014
Department of Defense,203.192,2009
Department of Defense,1000,2013
Department of Defense,0.619,2009
Department of Defense,0.849,2011
Department of Defense,5.961,2012
Department of Defense,9.104,2013
Department of Defense,6.183,2013
Department of Defense,5.126,2013
Department of Defense,5.322,2013
Department of Defense,2.188,2013
Department of Defense,27,2012
Department of Defense,95.14,2011
Department of Defense,10,2013
Department of Defense,32.3,2011
Department of Defense,53.4,2011
Department of Defense,37.213,2011
Department of Defense,3.047,2011
Department of Defense,2.302,2011
Department of Defense,25.355,2012
Department of Defense,9.188,2012
Department of Defense,8.45,2012
Department of Defense,7.492,2010
Department of Defense,6.223,2010
Department of Defense,10.369,2013
Department of Defense,31.9,2011
Department of Defense,48.635,2012
Department of Defense,26.3,2011
Department of Defense,67.589,2006
Department of Defense,283.08,2008
Department of Defense,11.994,2011
Department of Defense,19.947,2008
Department of Defense,21.271,2010
Department of Defense,37.99,2009
Department of Defense,43.916,2011
Department of Defense,3.715,2012
Department of Defense,52.456,2011
Department of Defense,97.278,2011
Department of Defense,958.5,2010
Department of Defense,15.812,2013
Department of Defense,7.013,2015
Department of Defense,13.357,2011
Department of Defense,105.57,2010
Department of Defense,128.462,2010
Department of Defense,3.888,2011
Department of Defense,43.574,2011
Department of Defense,20,2014
Department of Defense,17.6,2011
Department of Defense,171,2011
Department of Defense,258.465,2011
Department of Defense,48.41,2011
Department of Defense,21.932,2012
Department of Defense,12.645,2012
Department of Defense,2.945,2012
Department of Defense,108.669,2012
Department of Defense,17.908,2012
Department of Defense,29.603,2012
Department of Defense,8.448,2012
Department of Defense,10.927,2012
Department of Defense,3.408,2012
Department of Defense,15,2014
Department of Defense,15,2014
Department of Defense,57.376,2013
Department of Defense,38.487,2013
Department of Defense,8.199,2013
Department of Defense,30.451,2013
Department of Defense,6.993,2013
Department of Defense,260,2014
Department of Defense,55,2014
Department of Defense,35,2014
Department of Defense,8,2014
Department of Defense,290.322,2013
Department of Defense,42.393,2012
Department of Defense,41.101,2013
Department of Defense,59.17,2012
Department of Defense,41.248,2012
Department of Defense,41.487,2012
Department of Defense,33.935,2013
Department of Defense,34.951,2014
Department of Defense,35.493,2013
Department of Defense,38.493,2014
Department of Defense,19.483,2009
Department of Defense,1785.543,2000
Department of Defense,4.971,2013
Department of Defense,4.343,2013
Department of Defense,7.842,2014
Department of Defense,73.035,2012
Department of Defense,63.738,2013
Department of Defense,58.988,2014
Department of Defense,416.098,2012
Department of Defense,75,2012
Department of Defense,8.574,2012
Department of Defense,0,2011
Department of Defense,1.994,2014
Department of Defense,9.227,2013
Department of Defense,3.404,2013
Department of Defense,4.804,2011
Department of Defense,3.54,2012
Department of Defense,0.321,2012
Department of Defense,42.55,2012
Department of Defense,22.5,2013
Department of Defense,33.45,2013
Department of Defense,42.623,2014
Department of Defense,15.154,2013
Department of Defense,61.031,2014
Department of Defense,2433.642,2005
Department of Defense,63.46,2013
Department of Defense,89.65,2014
Department of Defense,70.283,2014
Department of Defense,2707.3,2012
Department of Defense,42.143,2012
Department of Defense,24.6,2011
Department of Defense,434.4,2010
Department of Defense,99.794,2012
Department of Defense,154.503,2013
Department of Education,4.528542,2012
Department of Education,1.145,2012
Department of Education,1.215,2013
Department of Education,1.275,2014
Department of Education,0.5,2012
Department of Education,4,2014
Department of Education,1.34141,2012
Department of Education,0.667546,2012
Department of Education,0.348112,2012
Department of Education,1.429328,2013
Department of Education,0.040534,2012
Department of Education,0.71551,2013
Department of Education,0.350159,2013
Department of Education,6.655,2011
Department of Education,1.834,2012
Department of Education,1.755,2013
Department of Education,0.512,2013
Department of Education,0.009,2012
Department of Education,0.113,2013
Department of Education,0.097,2013
Department of Education,0.0295,2013
Department of Education,0.774,2013
Department of Education,0.012,2013
Department of Education,0.95,2014
Department of Education,0.009,2014
Department of Education,4.7,2014
Department of Education,0.671,2013
Department of Education,4.714,2013
Department of Education,2.094,2013
Department of Education,0.174,2013
Department of Education,28.790323,2007
Department of Education,32.376138,2013
Department of Education,0.18,2013
Department of Education,0.266,2013
Department of Education,1.425,2014
Department of Education,0.27,2012
Department of Education,0.971,2012
Department of Education,0.27,2013
Department of Education,0.971,2013
Department of Education,1.51,2014
Department of Education,335.88202,2014
Department of Education,283.231055,2012
Department of Education,4.460662,2009
Department of Education,8.943187,2009
Department of Education,0.572452,2010
Department of Education,5.38779,2013
Department of Education,7.895952,2013
Department of Education,0.325712,2012
Department of Education,4.564291,2012
Department of Education,0.11325,2013
Department of Education,1.8795,2013
Department of Education,0.986,2014
Department of Education,3.37275,2014
Department of Education,2.751,2014
Department of Education,1.4,2014
Department of Education,3,2014
Department of Education,1.173,2012
Department of Education,0.367,2012
Department of Education,0.036,2013
Department of Education,0.404,2012
Department of Education,0.503,2012
Department of Education,1.3,2013
Department of Education,2.03,2012
Department of Education,0.051,2012
Department of Education,0.45,2012
Department of Education,2.635,2013
Department of Education,2.411,2014
Department of Education,4.2,2014
Department of Education,0.7047,2013
Department of Education,0.158,2013
Department of Education,0.1645,2013
Department of Education,0.0395,2013
Department of Education,0.50584,2013
Department of Education,0.0917,2013
Department of Education,0.01299,2013
Department of Education,0.21991,2013
Department of Education,0.096055,2012
Department of Education,0.25,2013
Department of Education,5.6,2012
Department of Education,5.6,2014
Department of Education,5.6,2012
Department of Education,5.6,2013
Department of Education,0.136,2012
Department of Education,0.3,2012
Department of Education,0.606,2013
Department of Education,0.794,2014
Department of Education,1.93,2012
Department of Education,0.6,2013
Department of Education,12.953,2012
Department of Education,2.5,2012
Department of Education,6.466,2013
Department of Education,2.5,2013
Department of Education,6.739,2014
Department of Education,9.5,2012
Department of Education,9.5,2013
Department of Education,0.293,2013
Department of Education,1.964,2011
Department of Education,3.003,2011
Department of Education,7.929,2011
Department of Education,0.4,2012
Department of Education,0.138773,2013
Department of Education,1.609515,2012
Department of Education,6.3,2012
Department of Education,0.5,2012
Department of Education,0.525,2013
Department of Education,0.551,2014
Department of Education,0.621,2013
Department of Education,1.809,2014
Department of Education,0.266,2013
Department of Education,0.505,2013
Department of Education,0.7,2013
Department of Energy,0.006,2011
Department of Energy,0.0035,2012
Department of Energy,0.004,2012
Department of Energy,0.008,2012
Department of Energy,0.6286,2012
Department of Energy,0.181,2012
Department of Energy,0.141,2012
Department of Energy,0.24,2012
Department of Energy,0.08,2012
Department of Energy,2.981459,2012
Department of Energy,0.10965,2013
Department of Energy,0.12075,2014
Department of Energy,0.103,2013
Department of Energy,0.33805,2013
Department of Energy,0.4435,2013
Department of Energy,0.117,2013
Department of Energy,0.11745,2014
Department of Energy,0.26,2013
Department of Energy,0.172,2012
Department of Energy,0.572,2012
Department of Energy,0.779,2012
Department of Energy,0.114,2012
Department of Energy,0.2011,2013
Department of Energy,0.4615,2013
