agency,year,projects,status
Department of State,2003,3,0
Department of State,2006,3,0
Department of State,2011,69,0.34782608695652173
Department of State,2012,12,0.5833333333333334
U.S. Agency for International Development,2013,3,0.6666666666666666
U.S. Agency for International Development,2011,5,0.2
U.S. Agency for International Development,2010,1,0
U.S. Agency for International Development,2012,4,0
U.S. Agency for International Development,2014,1,0
Department of Transportation,2005,1,2
Department of Transportation,2013,41,0.12195121951219512
Department of Transportation,2010,60,0.5333333333333333
Department of Transportation,2002,1,0
Department of Transportation,2015,2,0
Department of Transportation,2006,3,0.6666666666666666
Department of Transportation,2007,5,0.2
Department of Transportation,2008,22,0.2727272727272727
Department of Transportation,2012,44,0.29545454545454547
Department of Transportation,2000,1,0
Department of Transportation,2011,52,0.40384615384615385
Department of Transportation,2014,30,0.1
Department of Transportation,2009,9,0
Department of the Treasury,1998,1,0
Department of the Treasury,2011,22,0.5909090909090909
Department of the Treasury,2012,56,0.5714285714285714
Department of the Treasury,2008,2,1
Department of the Treasury,2015,1,0
Department of the Treasury,2014,33,0
Department of the Treasury,2013,80,0.35
Department of the Treasury,2009,3,0
Department of the Treasury,2010,5,0.2
Department of Veterans Affairs,2009,15,0.9333333333333333
Department of Veterans Affairs,2008,10,0.4
Department of Veterans Affairs,2010,51,0.8235294117647058
Department of Veterans Affairs,2011,53,0.7169811320754716
Department of Veterans Affairs,2013,39,0.2564102564102564
Department of Veterans Affairs,2012,61,0.5081967213114754
Department of Veterans Affairs,2006,1,2
Department of Veterans Affairs,2007,1,1
Department of Veterans Affairs,2014,31,0.22580645161290322
Department of Veterans Affairs,2015,18,0
U.S. Army Corps of Engineers,2013,6,0.16666666666666666
U.S. Army Corps of Engineers,1997,1,2
U.S. Army Corps of Engineers,2007,1,0
U.S. Army Corps of Engineers,2014,4,0.25
U.S. Army Corps of Engineers,2015,2,0
U.S. Army Corps of Engineers,2009,1,0
U.S. Army Corps of Engineers,2011,5,0
U.S. Army Corps of Engineers,2012,3,0
U.S. Army Corps of Engineers,2010,4,1.25
Environmental Protection Agency,2012,20,0.05
Environmental Protection Agency,2013,21,0.2857142857142857
Environmental Protection Agency,2014,13,0
Environmental Protection Agency,2010,1,1
Environmental Protection Agency,2008,1,0
Environmental Protection Agency,2011,3,0.6666666666666666
General Services Administration,2014,23,0
General Services Administration,2011,18,0.3888888888888889
General Services Administration,2010,2,0
General Services Administration,2007,1,0
General Services Administration,2013,51,0.058823529411764705
General Services Administration,2015,1,0
General Services Administration,2009,1,0
General Services Administration,2012,47,0.0425531914893617
National Aeronautics and Space Administration,2011,8,0.125
National Aeronautics and Space Administration,2012,4,0
National Archives and Records Administration,2014,7,0.14285714285714285
National Archives and Records Administration,2013,20,0.05
National Archives and Records Administration,2011,6,0.3333333333333333
National Archives and Records Administration,2012,12,0.16666666666666666
National Science Foundation,2012,13,0
National Science Foundation,2014,5,0.2
National Science Foundation,2013,4,0.25
National Science Foundation,2010,1,0
Nuclear Regulatory Commission,2014,11,0.09090909090909091
Nuclear Regulatory Commission,2013,27,0.2962962962962963
Nuclear Regulatory Commission,2010,1,0
Nuclear Regulatory Commission,2012,31,0.2903225806451613
Nuclear Regulatory Commission,2011,6,0.3333333333333333
Office of Personnel Management,2009,1,1
Office of Personnel Management,2014,10,0
Office of Personnel Management,2005,1,0
Office of Personnel Management,2010,2,0
Office of Personnel Management,2004,1,0
Office of Personnel Management,2008,2,0.5
Office of Personnel Management,2011,8,0.375
Office of Personnel Management,2012,15,0.4666666666666667
Office of Personnel Management,2013,18,0
Small Business Administration,2013,14,0.07142857142857142
Small Business Administration,2010,6,0.16666666666666666
Small Business Administration,2014,5,0
Small Business Administration,2012,5,0
Small Business Administration,2011,9,0
Social Security Administration,2011,13,0.23076923076923078
Social Security Administration,2014,40,0
Social Security Administration,2012,104,0.5865384615384616
Social Security Administration,2013,51,0.6078431372549019
